sprint_id,status,priority,lane,owner,source_id,source_name,source_family,priority_tier,region_or_country,best_current_page,latest_visible_date,latest_period_covered,recency_status,evidence_link,last_checked_utc,next_action,notes
SV-024,verified,high,humanitarian_feed,humanitarian_feed_monitor,seed-24,HDX Humanitarian API,humanitarian_feed,tier1,Global,https://centre.humdata.org/ufaqs/how-up-to-date-is-the-data-in-hdx-hapi/,2025-09-15,,overdue,https://hdx-hapi.readthedocs.io/en/latest/changelog/,2026-03-25T23:59:40Z,Capture a source-data coverage marker in addition to the changelog date because the public changelog proves active maintenance but not a reporting period,Public evidence of active product operation found; exact page publication date not visible.
SV-025,verified,high,humanitarian_feed,humanitarian_feed_monitor,seed-25,HDX Signals,humanitarian_feed,tier1,Global,https://centre.humdata.org/introducing-hdx-signals/,2025-04-03,2025-02,overdue,https://centre.humdata.org/author/data-science-team/,2026-03-25T23:59:40Z,Use the Signals story page as the coverage source and keep watching for a machine-readable feed or API endpoint.,Active product evidence found
SV-026,verified,medium,humanitarian_feed,humanitarian_feed_monitor,seed-26,UNHCR Egypt Sudan Emergency Update,humanitarian_feed,tier1,Egypt/Sudan,https://data.unhcr.org/en/search?direction=desc&geo_id=1&page=1&sector=0&sector_json=%7B%220%22%3A+%220%22%7D&sort=publishDate&sv_id=0&type%5B0%5D=document,2026-03-23,2026-03-19,current,https://data.unhcr.org/en/documents/details/121681,2026-03-25T23:59:41Z,Keep following the UNHCR document index and promote the newest matching detail page when a later publication appears.,Strong exact-date verification landed in recent_accounting.csv.
SV-027,verified,medium,market_monitor,market_monitor_monitor,seed-27,WFP Global Market Monitor,market_monitor,tier1,Global,https://data.humdata.org/dataset/global-market-monitor,2026-03-24,,current,https://data.humdata.org/api/3/action/package_show?id=global-market-monitor,2026-03-25T23:59:41Z,Review dataset resources for an explicit coverage-period marker after metadata sync.,Extract the dataset-level last updated timestamp from HDX metadata or API output
SV-028,verified,medium,baseline_refresh,trade_monitor,seed-28,UN Comtrade TradeFlow,trade,tier1,Global,https://comtradeplus.un.org/DataAvailability,2026-03-25,,current,https://comtradeplus.un.org/api/DataAvailability/getComtradeTrend,2026-03-25T23:59:41Z,Track the Comtrade Plus data-availability API and add file-level publication metadata if a stable public endpoint is exposed.,Prefer deterministic CSV or API pulls over site crawling; use as the strongest multilateral trade baseline across corridor countries.
SV-029,verified,medium,market_monitor,market_monitor_monitor,seed-29,UNCTAD Maritime Transport Insights,market_monitor,tier1,Global,https://unctadstat.unctad.org/insights/theme/246,2026-01-28,,manual_review,https://unctadstat.unctad.org/insights/theme/246,2026-03-25T23:59:42Z,Monitor the UNCTAD maritime insights theme page and its linked data-centre metadata pages for fresher updates.,Keep collection narrow and pinned to insight pages or profile PDFs rather than broad crawling.
SV-030,verified,medium,market_monitor,market_monitor_monitor,seed-30,Suez Canal Authority Navigation News,market_monitor,tier1,Regional,https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/default.aspx,2026-03-03,,manual_review,https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/Sca_3-3-2026.aspx,2026-03-25T23:59:42Z,Keep following the SCA news index and promote the latest navigation-news detail page on each rerun.,"Use pinned news or navigation-report URLs rather than broad site crawling; useful as a route-pressure indicator, not a direct market-price source."
SV-031,verified,medium,macro_price,macro_price_monitor,seed-31,Israel CBS Main Price Indices,macro_price,tier1,Israel,https://www.cbs.gov.il/en/Pages/Main%20Price%20Indices.aspx,2026-03-15,2026-02,current,https://www.cbs.gov.il/en/mediarelease/Madad/Pages/2026/Consumer-Price-Index-February-2026.aspx,2026-03-25T23:59:44Z,Keep extracting the latest CPI release row from the embedded CBS price-index data list.,CBS Main Price Indices capture parsed on 2026-03-26T12:00:00Z. Latest CPI row: Consumer Price Index
SV-032,verified,medium,baseline_refresh,trade_monitor,seed-32,Israel CBS Exports and Imports Monthly Files,trade,tier1,Israel,https://www.cbs.gov.il/en/Pages/importAndExport.aspx,2026-03-25,2026-01,current,https://www.cbs.gov.il/he/publications/_api/web/GetFolderByServerRelativeUrl('DocLib/impexpfiles')/Files,2026-03-25T23:59:46Z,Keep using the CBS document-library API and watch for the next monthly import and export ZIP pair.,CBS imports and exports verified on 2026-03-26. Latest media release: Foreign Trade in Goods - February 2026; publication date: 2026-03-23; covered period: 2026-02.
SV-033,verified,high,market_monitor,market_monitor_monitor,seed-33,Ashdod Port Financial and Operating Updates,market_monitor,tier1,Israel,https://www.ashdodport.co.il/about/financial-information/Pages/default.aspx,2025-11-23,2025-09,due_now,https://anyflip.com/hvel/gwqa/basic,2026-03-26T00:07:31Z,Follow the official Ashdod financial-information hub and pin the newest linked presentation or report page on each rerun.,Ashdod Port traffic verified on 2026-03-26. Feb 2026 traffic (134
SV-034,verified,medium,market_monitor,market_monitor_monitor,seed-34,Israel Airports Authority Monthly Report,market_monitor,tier1,Israel,https://www.iaa.gov.il/about/aeronautical-information/annualreport/,2026-03-17,2026-02,current,https://www.iaa.gov.il/about/aeronautical-information/annualreport/,2026-03-25T23:59:49Z,Keep discovering the latest monthly report from the IAA archive and use PDF headers as the release timestamp.,IAA monthly archive parsed on 2026-03-26. Latest visible period: Feb 2026; publication date: 2026-03-17.
