source_id,rank,source_name,source_family,priority_tier,region_or_country,refresh_cadence,expected_recency_window,last_checked_utc,last_published_date,latest_period_covered,claim_date_utc,recency_status,owner,evidence_link,mirror_evidence_link,evidence_path,status,next_check_due_utc,next_action,notes,url
seed-22,22,Saudi GASTAT Consumer Price Index,macro_price,tier1,Saudi Arabia,monthly,35 days,2026-03-28T14:20:15Z,2026-03-14,2026-02,2026-03-25T09:58:17Z,current,source_monitor,https://www.stats.gov.sa/documents/20117/2435267/CPI+Feb+2026-EN.pdf/b5bb5491-511c-d979-de0b-f84380966d1a?t=1773476710285,,artifacts/collection/raw/seed-22/run-seed-22.json,in_review,2026-05-02T14:20:15Z,Check for the next monthly CPI release and capture the exact release page if January 2026 or later is available,GASTAT CPI source captured on 2026-03-28T14:20:15Z. Evidence link: https://www.stats.gov.sa/documents/20117/2435267/CPI+Feb+2026-EN.pdf/b5bb5491-511c-d979-de0b-f84380966d1a?t=1773476710285; publication date: 2026-03-14; covered period: 2026-02; title: Consumer Price Index – February 2026,https://stats.gov.sa/en/w/cpi-1
seed-23,23,Lebanon CAS Consumer Price Index,macro_price,tier1,Lebanon,monthly,35 days,2026-03-28T14:20:16Z,2026-03-24,2026-02,2026-03-25T09:58:17Z,current,source_monitor,http://cas.gov.lb/images/PDFs/CPI/2026/2-CPI_FEBRUARY2026.pdf,,artifacts/collection/raw/seed-23/run-seed-23-data.json,in_review,2026-05-02T14:20:16Z,Track the CAS CPI dashboard JSON feed and the official CAS monthly CPI publication page; promote the official PDF when it is newer than the beta JSON feed.,CAS CPI dashboard captured on 2026-03-28T14:20:16Z. Beta feed last-modified date: 2026-01-24; latest visible period in beta JSON: 2025-11; newer official CPI PDF selected: http://cas.gov.lb/images/PDFs/CPI/2026/2-CPI_FEBRUARY2026.pdf with covered period 2026-02 and last-modified date 2026-03-24.,http://cas.gov.lb/index.php/economic-statistics-en/cpi-en/
seed-24,24,HDX Humanitarian API,humanitarian_feed,tier1,Global,weekly,8 days,2026-03-28T14:20:24Z,2026-03-25,,2026-03-25T09:58:17Z,current,source_monitor,https://centre.humdata.org/ufaqs/how-up-to-date-is-the-data-in-hdx-hapi/,,artifacts/collection/raw/seed-24/run-seed-24-changelog.html,in_review,2026-04-05T14:20:24Z,Use the public HAPI FAQ as the product-level freshness marker and confirm dataset-specific cadence from the underlying source datasets.,Public HAPI FAQ captured on 2026-03-28T14:20:24Z. FAQ last-modified date: 2026-03-25; daily-update statement present: yes; changelog latest visible date: 2025-09-15.,https://data.humdata.org/hapi
seed-25,25,HDX Signals,humanitarian_feed,tier2,Global,weekly,8 days,2026-03-28T14:20:25Z,2026-03-17,2025-02,2026-03-25T09:58:17Z,manual_review,source_monitor,https://data.humdata.org/api/3/action/package_show?id=hdx-signals,,artifacts/collection/raw/seed-25/run-seed-25.json,in_review,2026-04-05T14:20:25Z,Review dataset resources for an explicit coverage-period marker after metadata sync.,HDX dataset metadata sync captured on 2026-03-28T14:20:25Z. Latest visible metadata date: 2026-03-17; latest resource date: 2026-03-17. Declared update frequency: every 7 day(s). Due date: 2026-03-20T23:59:59. Update status: needs_update.,https://data.humdata.org/signals
seed-26,26,UNHCR Egypt Sudan Emergency Update,humanitarian_feed,tier1,Egypt/Sudan,weekly,8 days,2026-03-28T14:20:25Z,2026-03-23,2026-03-19,2026-03-25T09:59:09Z,current,source_monitor,https://data.unhcr.org/en/documents/details/121681,,artifacts/collection/raw/seed-26/run-seed-26-detail.html,in_review,2026-04-05T14:20:25Z,Keep following the UNHCR document index and promote the newest matching detail page when a later publication appears.,UNHCR document index captured on 2026-03-28T14:20:25Z. Latest matching title: Egypt: New Arrivals from Sudan as of 19 March 2026; publish date: 2026-03-23; upload date: 2026-03-23; covered period: 2026-03-19.,https://data.unhcr.org/en/search?direction=desc&geo_id=1&page=1&sector=0&sector_json=%7B%220%22%3A+%220%22%7D&sort=publishDate&sv_id=0&type%5B0%5D=document
seed-27,27,WFP Global Market Monitor,market_monitor,tier1,Global,biweekly,16 days,2026-03-28T14:20:26Z,2026-03-24,,2026-03-25T09:58:17Z,current,source_monitor,https://data.humdata.org/api/3/action/package_show?id=global-market-monitor,,artifacts/collection/raw/seed-27/run-seed-27.json,in_review,2026-04-13T14:20:26Z,Review dataset resources for an explicit coverage-period marker after metadata sync.,HDX dataset metadata sync captured on 2026-03-28T14:20:26Z. Latest visible metadata date: 2026-03-24; latest resource date: 2026-03-03. Declared update frequency: every 14 day(s). Due date: 2026-03-03T23:59:59. Update status: needs_update.,https://data.humdata.org/dataset/global-market-monitor
seed-28,28,UN Comtrade TradeFlow,trade,tier1,Global,monthly,35 days,2026-03-28T14:20:26Z,2026-03-28,,,current,,https://comtradeplus.un.org/api/DataAvailability/getComtradeTrend,,artifacts/collection/raw/seed-28/run-seed-28.json,in_review,2026-05-02T14:20:26Z,Track the Comtrade Plus data-availability API and add file-level publication metadata if a stable public endpoint is exposed.,Comtrade data-availability API captured on 2026-03-28T14:20:26Z. Last updated date: 2026-03-28; released bucket total: 1748; upcoming bucket total: 2280.,https://comtradeplus.un.org/DataAvailability
seed-29,29,UNCTAD Maritime Transport Insights,market_monitor,tier1,Global,quarterly,100 days,2026-03-28T14:20:27Z,2026-01-28,2025-12,2026-03-26T12:00:00Z,current,source_monitor,https://unctadstat.unctad.org/datacentre/dataviewer/US.LSCI,,artifacts/collection/raw/seed-29/run-seed-29-datacentre.html,in_review,2026-07-06T14:20:27Z,Monitor the UNCTAD maritime insights theme page and its linked data-centre metadata pages for fresher updates.,"UNCTAD maritime insights page parsed on 2026-03-28T14:20:27Z. Latest visible update date: 2026-01-28; selected insight: Mauritania, Sierra Leone, and Cameroon saw the largest annual connectivity increases in the fourth quarter of 2025; covered period: 2025-12.",https://unctadstat.unctad.org/insights/theme/246
seed-30,30,Suez Canal Authority Navigation News,market_monitor,tier1,Regional,monthly,35 days,2026-03-28T14:20:27Z,2026-03-03,,2026-03-03,current,,https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/Sca_3-3-2026.aspx,,artifacts/collection/raw/seed-30/run-seed-30-detail.html,in_review,2026-05-02T14:20:27Z,Keep following the SCA news index and promote the latest navigation-news detail page on each rerun.,"SCA navigation news index parsed on 2026-03-28T14:20:27Z. Latest navigation-news date: 2026-03-03; selected title: Adm. Rabiee: ""Traffic through the Canal is flowing normally in both directions""; same-day transit: 56 vessels / 2.6 million tons; rolling three-day transit: 100 vessels / 3.8 million tons",https://www.suezcanal.gov.eg/English/MediaCenter/News/Pages/default.aspx
seed-31,31,Israel CBS Main Price Indices,macro_price,tier1,Israel,monthly,35 days,2026-03-28T14:20:32Z,2026-03-15,2026-02,2026-03-26T12:00:00Z,current,source_monitor,https://www.cbs.gov.il/en/mediarelease/Madad/Pages/2026/Consumer-Price-Index-February-2026.aspx,,artifacts/collection/raw/seed-31/run-seed-31-series.json,in_review,2026-05-02T14:20:32Z,Keep extracting the latest CPI release row from the embedded CBS price-index data list instead of manual page inspection.,"CBS Main Price Indices capture parsed on 2026-03-28T14:20:32Z. Latest CPI row: Consumer Price Index,February 2026; publication date: 2026-03-15; covered period: 2026-02.",https://www.cbs.gov.il/en/Pages/Main%20Price%20Indices.aspx
seed-32,32,Israel CBS Exports and Imports Monthly Files,trade,tier1,Israel,monthly,35 days,2026-03-28T14:20:36Z,2026-03-26,2026-02,2026-03-26T12:00:00Z,current,source_monitor,https://www.cbs.gov.il/he/publications/_api/web/GetFolderByServerRelativeUrl('DocLib/impexpfiles')/Files,,artifacts/collection/raw/seed-32/run-seed-32.xml,in_review,2026-05-02T14:20:36Z,Keep using the CBS document-library API and watch for the next monthly import and export ZIP pair.,"CBS imports and exports feed parsed on 2026-03-28T14:20:36Z. Latest period: 2026-02; latest file timestamp: 2026-03-26; files: exp_2_2026.zip, imp_2_2026.zip.",https://www.cbs.gov.il/en/Pages/importAndExport.aspx
seed-33,33,Ashdod Port Financial and Operating Updates,market_monitor,tier1,Israel,quarterly,100 days,2026-03-28T19:46:26Z,2025-11-23,2025-09,2026-03-26T12:00:00Z,due_now,source_monitor,https://www.ashdodport.co.il/about/financial-information/Pages/default.aspx,https://anyflip.com/hvel/gwqa/basic,artifacts/collection/raw/seed-33/run-seed-33-fallback.html,in_review,2026-07-06T19:46:26Z,Track the Ashdod financial-information hub and the newest linked presentation to capture future releases.,Ashdod Port Financial and Operating Updates official hub was blocked; metadata was parsed from the AnyFlip mirror fallback at https://anyflip.com/hvel/gwqa/basic.,https://www.ashdodport.co.il/about/financial-information/Pages/default.aspx
seed-34,34,Israel Airports Authority Monthly Report,market_monitor,tier1,Israel,monthly,35 days,2026-03-28T14:20:41Z,2026-03-17,2026-02,2026-03-26T12:00:00Z,current,source_monitor,https://www.iaa.gov.il/about/aeronautical-information/annualreport/,,artifacts/collection/raw/seed-34/run-seed-34.html,in_review,2026-05-02T14:20:41Z,Keep discovering the latest monthly report from the IAA archive and use PDF headers as the release timestamp.,IAA monthly archive parsed on 2026-03-28T14:20:41Z. Latest visible period: not found; selected report: annualreport; release date: not found.,https://www.iaa.gov.il/about/aeronautical-information/annualreport/
